id,name,name_en,grade,type,story_kr,story_en
CK001,용감한 쿠키,GingerBrave,커먼,돌격,오븐에서 탈출한 최초의 쿠키! 두려움 없이 달려나가는 용감한 쿠키입니다.,The first cookie to escape from the oven! A brave cookie who runs without fear.
CK002,딸기맛 쿠키,Strawberry Cookie,커먼,방어,달콤한 딸기향이 나는 수줍은 쿠키입니다. 부끄러움이 많지만 친구를 위해선 용감해져요.,"A shy cookie with a sweet strawberry scent. Though timid, becomes brave for friends."
CK003,마법사맛 쿠키,Wizard Cookie,레어,마법,신비로운 마법을 부리는 쿠키입니다. 아직 수련 중이라 가끔 마법이 엉뚱하게 나가기도 해요.,"A cookie who wields mysterious magic. Still in training, so spells sometimes go awry."
CK004,닌자맛 쿠키,Ninja Cookie,레어,돌격,그림자처럼 빠르고 조용한 쿠키입니다. 비밀스러운 닌자 마을에서 수련을 받았어요.,A cookie as fast and silent as a shadow. Trained in a secret ninja village.
CK005,뱀파이어맛 쿠키,Vampire Cookie,에픽,복수,"밤의 귀족 쿠키입니다. 와인잼을 좋아하며, 햇빛을 피해 성에서 살고 있어요.",A noble cookie of the night. Loves wine jam and lives in a castle away from sunlight.
CK006,허브맛 쿠키,Herb Cookie,에픽,치유,식물을 사랑하는 치유사 쿠키입니다. 허브 정원에서 다양한 약초를 기르고 있어요.,A healer cookie who loves plants. Grows various herbs in the herb garden.
CK007,감초맛 쿠키,Licorice Cookie,에픽,마법,어둠의 마법을 연구하는 쿠키입니다. 감초 하인들을 소환해 싸울 수 있어요.,A cookie researching dark magic. Can summon licorice servants to fight.
CK008,에스프레소맛 쿠키,Espresso Cookie,에픽,마법,커피 마법학의 천재 쿠키입니다. 차가운 성격이지만 실력은 인정받고 있어요.,A genius cookie of coffee magic. Cold personality but skills are recognized.
CK009,순수 바닐라 쿠키,Pure Vanilla Cookie,에인션트,치유,고대 영웅 중 한 명인 에인션트 쿠키입니다. 평화를 사랑하며 모든 쿠키를 치유해요.,One of the Ancient Heroes. Loves peace and heals all cookies.
CK010,다크카카오 쿠키,Dark Cacao Cookie,에인션트,돌격,다크카카오 왕국의 왕입니다. 무거운 검을 휘두르며 왕국을 지키고 있어요.,King of the Dark Cacao Kingdom. Wields a heavy sword to protect the kingdom.
CK011,홀리베리 쿠키,Hollyberry Cookie,에인션트,방어,홀리베리 왕국의 여왕입니다. 강인하고 용감하며 모든 쿠키들의 존경을 받아요.,"Queen of the Hollyberry Kingdom. Strong and brave, respected by all cookies."
CK012,바다요정 쿠키,Sea Fairy Cookie,레전더리,폭발,깊은 바다에서 온 신비로운 쿠키입니다. 엄청난 마법력으로 적을 얼려버려요.,A mysterious cookie from the deep sea. Freezes enemies with tremendous magic.
CK013,서리여왕 쿠키,Frost Queen Cookie,레전더리,마법,얼음 왕국을 다스리는 여왕 쿠키입니다. 차가운 눈보라로 모든 것을 얼려버려요.,Queen cookie ruling the Ice Kingdom. Freezes everything with cold blizzards.
CK014,검은건포도맛 쿠키,Black Raisin Cookie,에픽,돌격,까마귀와 함께하는 미스터리한 쿠키입니다. 빠른 속도로 적을 베어버려요.,A mysterious cookie with crows. Slashes enemies at high speed.
CK015,호밀맛 쿠키,Rye Cookie,에픽,사격,서부 출신의 총잡이 쿠키입니다. 정확한 사격 솜씨로 악당들을 물리쳐요.,A gunslinger cookie from the West. Defeats villains with precise shooting.
