log_id,user_id,event_type,event_date,detail
LOG00000000,U000100,pvp_battle,2024-07-24,"{""result"": ""win""}"
LOG00000001,U000177,guild_activity,2024-07-30,{}
LOG00000002,U000886,stage_clear,2024-06-14,"{""stage"": 409, ""stars"": 1}"
LOG00000003,U000123,guild_activity,2024-08-18,{}
LOG00000004,U000425,stage_clear,2024-10-03,"{""stage"": 215, ""stars"": 2}"
LOG00000005,U000007,stage_clear,2024-07-25,"{""stage"": 60, ""stars"": 1}"
LOG00000006,U000656,pvp_battle,2024-06-07,"{""result"": ""win""}"
LOG00000007,U000202,guild_activity,2024-07-28,{}
LOG00000008,U000126,stage_clear,2024-06-24,"{""stage"": 474, ""stars"": 2}"
LOG00000009,U000688,stage_clear,2024-09-22,"{""stage"": 276, ""stars"": 3}"
LOG00000010,U000279,guild_activity,2024-07-22,{}
LOG00000011,U000272,pvp_battle,2024-11-02,"{""result"": ""lose""}"
LOG00000012,U000663,stage_clear,2024-08-11,"{""stage"": 119, ""stars"": 2}"
LOG00000013,U000919,gacha_pull,2024-09-23,"{""pull_type"": ""single"", ""got_epic"": 0}"
LOG00000014,U000244,cookie_upgrade,2024-09-14,{}
LOG00000015,U000292,stage_clear,2024-09-08,"{""stage"": 287, ""stars"": 2}"
LOG00000016,U000681,gacha_pull,2024-09-16,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000017,U000150,stage_clear,2024-10-05,"{""stage"": 430, ""stars"": 3}"
LOG00000018,U000831,pvp_battle,2024-06-20,"{""result"": ""lose""}"
LOG00000019,U000641,stage_clear,2024-11-27,"{""stage"": 495, ""stars"": 2}"
LOG00000020,U000281,stage_clear,2024-10-01,"{""stage"": 346, ""stars"": 2}"
LOG00000021,U000058,cookie_upgrade,2024-07-10,{}
LOG00000022,U000623,pvp_battle,2024-11-07,"{""result"": ""win""}"
LOG00000023,U000633,stage_clear,2024-07-22,"{""stage"": 442, ""stars"": 3}"
LOG00000024,U000879,cookie_upgrade,2024-08-01,{}
LOG00000025,U000880,stage_clear,2024-07-15,"{""stage"": 341, ""stars"": 2}"
LOG00000026,U000800,gacha_pull,2024-06-22,"{""pull_type"": ""ten_pull"", ""got_epic"": 1}"
LOG00000027,U000872,guild_activity,2024-07-29,{}
LOG00000028,U000374,pvp_battle,2024-10-13,"{""result"": ""win""}"
LOG00000029,U000102,gacha_pull,2024-08-13,"{""pull_type"": ""single"", ""got_epic"": 0}"
LOG00000030,U000573,gacha_pull,2024-11-06,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000031,U000657,pvp_battle,2024-08-27,"{""result"": ""lose""}"
LOG00000032,U000530,cookie_upgrade,2024-10-15,{}
LOG00000033,U000662,stage_clear,2024-10-20,"{""stage"": 242, ""stars"": 1}"
LOG00000034,U000632,gacha_pull,2024-11-05,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000035,U000725,guild_activity,2024-08-08,{}
LOG00000036,U000054,cookie_upgrade,2024-09-22,{}
LOG00000037,U000984,cookie_upgrade,2024-09-08,{}
LOG00000038,U000801,cookie_upgrade,2024-08-25,{}
LOG00000039,U000784,pvp_battle,2024-09-27,"{""result"": ""lose""}"
LOG00000040,U000692,pvp_battle,2024-09-20,"{""result"": ""win""}"
LOG00000041,U000238,stage_clear,2024-11-16,"{""stage"": 119, ""stars"": 3}"
LOG00000042,U000521,gacha_pull,2024-07-14,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000043,U000702,gacha_pull,2024-06-29,"{""pull_type"": ""single"", ""got_epic"": 0}"
LOG00000044,U000343,gacha_pull,2024-06-02,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000045,U000618,cookie_upgrade,2024-09-20,{}
LOG00000046,U000810,stage_clear,2024-06-13,"{""stage"": 344, ""stars"": 3}"
LOG00000047,U000873,gacha_pull,2024-06-11,"{""pull_type"": ""single"", ""got_epic"": 0}"
LOG00000048,U000466,shop_purchase,2024-06-20,{}
LOG00000049,U000911,stage_clear,2024-09-26,"{""stage"": 156, ""stars"": 1}"
LOG00000050,U000245,stage_clear,2024-07-26,"{""stage"": 301, ""stars"": 1}"
LOG00000051,U000634,shop_purchase,2024-07-16,{}
LOG00000052,U000104,stage_clear,2024-08-01,"{""stage"": 427, ""stars"": 3}"
LOG00000053,U000490,cookie_upgrade,2024-08-03,{}
LOG00000054,U000319,stage_clear,2024-07-11,"{""stage"": 479, ""stars"": 2}"
LOG00000055,U000472,cookie_upgrade,2024-07-31,{}
LOG00000056,U000219,pvp_battle,2024-07-18,"{""result"": ""lose""}"
LOG00000057,U000767,stage_clear,2024-09-26,"{""stage"": 220, ""stars"": 3}"
LOG00000058,U000688,pvp_battle,2024-09-26,"{""result"": ""lose""}"
LOG00000059,U000203,cookie_upgrade,2024-07-13,{}
LOG00000060,U000078,pvp_battle,2024-07-07,"{""result"": ""lose""}"
LOG00000061,U000065,cookie_upgrade,2024-07-23,{}
LOG00000062,U000785,cookie_upgrade,2024-08-27,{}
LOG00000063,U000959,shop_purchase,2024-08-18,{}
LOG00000064,U000373,guild_activity,2024-10-30,{}
LOG00000065,U000468,cookie_upgrade,2024-09-22,{}
LOG00000066,U000327,gacha_pull,2024-09-18,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000067,U000517,stage_clear,2024-06-05,"{""stage"": 425, ""stars"": 1}"
LOG00000068,U000852,cookie_upgrade,2024-07-26,{}
LOG00000069,U000615,stage_clear,2024-08-06,"{""stage"": 447, ""stars"": 1}"
LOG00000070,U000562,pvp_battle,2024-11-07,"{""result"": ""lose""}"
LOG00000071,U000219,stage_clear,2024-06-28,"{""stage"": 278, ""stars"": 2}"
LOG00000072,U000398,shop_purchase,2024-09-16,{}
LOG00000073,U000230,guild_activity,2024-11-22,{}
LOG00000074,U000160,shop_purchase,2024-10-24,{}
LOG00000075,U000226,gacha_pull,2024-08-28,"{""pull_type"": ""single"", ""got_epic"": 0}"
LOG00000076,U000559,stage_clear,2024-06-11,"{""stage"": 275, ""stars"": 3}"
LOG00000077,U000980,stage_clear,2024-09-17,"{""stage"": 279, ""stars"": 1}"
LOG00000078,U000169,stage_clear,2024-08-18,"{""stage"": 73, ""stars"": 3}"
LOG00000079,U000284,cookie_upgrade,2024-09-01,{}
LOG00000080,U000042,stage_clear,2024-08-04,"{""stage"": 121, ""stars"": 2}"
LOG00000081,U000504,stage_clear,2024-07-12,"{""stage"": 226, ""stars"": 3}"
LOG00000082,U000598,stage_clear,2024-11-25,"{""stage"": 199, ""stars"": 1}"
LOG00000083,U000488,stage_clear,2024-11-12,"{""stage"": 358, ""stars"": 1}"
LOG00000084,U000415,gacha_pull,2024-09-13,"{""pull_type"": ""single"", ""got_epic"": 1}"
LOG00000085,U000081,pvp_battle,2024-08-14,"{""result"": ""lose""}"
LOG00000086,U000749,stage_clear,2024-11-16,"{""stage"": 408, ""stars"": 3}"
LOG00000087,U000413,stage_clear,2024-08-21,"{""stage"": 182, ""stars"": 3}"
LOG00000088,U000023,pvp_battle,2024-09-09,"{""result"": ""win""}"
LOG00000089,U000607,guild_activity,2024-10-28,{}
LOG00000090,U000232,stage_clear,2024-09-10,"{""stage"": 337, ""stars"": 3}"
LOG00000091,U000023,guild_activity,2024-07-10,{}
LOG00000092,U000451,stage_clear,2024-10-27,"{""stage"": 144, ""stars"": 3}"
LOG00000093,U000687,stage_clear,2024-10-29,"{""stage"": 211, ""stars"": 3}"
LOG00000094,U000613,shop_purchase,2024-06-15,{}
LOG00000095,U000117,shop_purchase,2024-07-03,{}
LOG00000096,U000602,pvp_battle,2024-11-18,"{""result"": ""win""}"
LOG00000097,U000054,cookie_upgrade,2024-09-09,{}
