user_id,date,playtime,stages_cleared,gacha_pulls,pvp_battles,guild_activities
U000001,11/01,238,33,1,1,4
U000001,11/02,97,13,0,4,4
U000001,11/03,75,25,2,12,4
U000001,11/04,217,30,8,10,3
U000001,11/05,226,23,7,6,1
U000001,11/06,228,28,9,0,1
U000001,11/07,238,21,1,6,3
U000001,11/08,122,29,9,12,4
U000001,11/09,208,24,9,6,0
U000001,11/10,49,28,3,12,4
U000001,11/11,111,18,6,3,1
U000001,11/12,225,23,3,14,4
U000001,11/13,111,19,3,7,1
U000001,11/14,169,19,4,7,1
U000001,11/15,156,25,6,6,3
U000001,11/16,65,19,9,14,0
U000001,11/17,67,18,4,3,4
U000001,11/18,159,5,9,0,0
U000001,11/19,193,6,6,1,1
U000001,11/20,136,12,3,11,4
U000001,11/21,54,30,8,9,2
U000001,11/22,205,33,5,10,0
U000001,11/23,227,16,1,3,1
U000001,11/24,115,25,7,4,2
U000001,11/25,193,36,1,6,3
U000001,11/26,141,6,8,8,2
U000001,11/27,113,29,0,0,4
U000001,11/28,167,16,5,10,0
U000001,11/29,78,36,1,0,2
U000001,11/30,211,13,6,5,1
U000001,12/01,92,6,9,13,1
U000001,12/02,110,9,0,11,1
U000001,12/03,182,25,2,6,3
U000001,12/04,76,19,2,12,4
U000001,12/05,145,12,0,1,0
U000001,12/06,193,9,1,11,4
U000001,12/07,118,34,0,0,0
U000001,12/08,205,39,3,6,4
U000001,12/09,44,29,2,11,3
U000001,12/10,138,7,8,2,1
U000001,12/11,139,34,1,0,3
U000001,12/12,109,23,7,5,4
U000001,12/13,42,7,1,5,2
U000001,12/14,97,10,4,11,1
U000001,12/15,137,32,4,9,3
U000001,12/16,104,11,1,11,1
U000001,12/17,192,16,1,6,0
U000001,12/18,71,14,8,3,0
U000001,12/19,48,28,3,4,2
U000001,12/20,36,35,9,14,3
U000001,12/21,96,15,1,8,3
U000001,12/22,132,20,1,2,0
U000001,12/23,235,23,2,3,4
U000001,12/24,76,5,1,5,1
U000001,12/25,59,23,5,0,4
U000001,12/26,191,36,0,11,4
U000001,12/27,222,39,8,8,1
U000001,12/28,106,11,3,14,0
U000001,12/29,97,34,3,5,2
U000001,12/30,90,19,9,2,0
U000001,12/31,44,29,7,4,2
U000001,01/01,37,11,6,0,4
U000001,01/02,124,36,1,14,0
U000001,01/03,90,13,9,5,0
U000001,01/04,231,21,5,1,2
U000001,01/05,205,5,0,11,0
U000001,01/06,123,17,9,1,1
U000001,01/07,53,7,7,8,0
U000001,01/08,45,37,3,5,2
U000001,01/09,92,10,5,8,2
U000001,01/10,189,10,1,2,4
U000001,01/11,72,14,7,4,4
U000001,01/12,164,12,0,1,4
U000001,01/13,229,12,7,0,3
U000001,01/14,191,26,2,10,3
U000001,01/15,97,32,2,6,2
U000001,01/16,99,36,9,1,3
U000001,01/17,128,25,4,1,1
U000001,01/18,122,26,4,9,2
U000001,01/19,68,16,8,14,0
U000001,01/20,138,7,3,4,3
U000001,01/21,72,29,1,10,2
U000001,01/22,127,22,0,12,0
U000001,01/23,147,10,8,0,4
U000001,01/24,44,11,4,5,3
U000001,01/25,32,39,7,6,4
U000001,01/26,101,14,0,12,1
U000001,01/27,232,28,4,11,1
U000001,01/28,134,29,8,6,0
U000001,01/29,216,13,3,6,2
U000002,11/01,218,19,4,12,3
U000002,11/02,203,30,5,2,2
U000002,11/03,203,37,2,0,1
U000002,11/04,108,34,6,13,3
U000002,11/05,206,29,4,14,0
U000002,11/06,126,35,4,13,2
U000002,11/07,94,7,0,4,1
U000002,11/08,225,17,2,0,2
U000002,11/09,236,18,0,12,3
U000002,11/10,53,8,2,13,4
U000002,11/11,110,21,9,8,0
U000002,11/12,57,8,0,10,3
U000002,11/13,213,15,5,6,2
U000002,11/14,85,16,1,2,2
U000002,11/15,189,33,5,13,2
U000002,11/16,120,26,2,2,4
U000002,11/17,234,24,1,10,3
U000002,11/18,210,5,5,8,4
U000002,11/19,204,10,6,14,3
U000002,11/20,45,36,8,7,0
U000002,11/21,181,31,9,13,3
U000002,11/22,92,10,6,3,2
U000002,11/23,54,36,6,8,0
U000002,11/24,128,17,5,4,0
U000002,11/25,57,22,7,0,3
U000002,11/26,206,7,4,11,1
U000002,11/27,131,12,7,12,0
U000002,11/28,213,8,2,8,4
U000002,11/29,207,22,3,6,2
U000002,11/30,43,7,9,8,4
U000002,12/01,41,36,4,11,0
