text,category,entity_id
오븐에서 탈출한 최초의 쿠키! 두려움 없이 달려나가는 용감한 쿠키입니다.,character_story,CK001
달콤한 딸기향이 나는 수줍은 쿠키입니다. 부끄러움이 많지만 친구를 위해선 용감해져요.,character_story,CK002
신비로운 마법을 부리는 쿠키입니다. 아직 수련 중이라 가끔 마법이 엉뚱하게 나가기도 해요.,character_story,CK003
그림자처럼 빠르고 조용한 쿠키입니다. 비밀스러운 닌자 마을에서 수련을 받았어요.,character_story,CK004
"밤의 귀족 쿠키입니다. 와인잼을 좋아하며, 햇빛을 피해 성에서 살고 있어요.",character_story,CK005
식물을 사랑하는 치유사 쿠키입니다. 허브 정원에서 다양한 약초를 기르고 있어요.,character_story,CK006
어둠의 마법을 연구하는 쿠키입니다. 감초 하인들을 소환해 싸울 수 있어요.,character_story,CK007
커피 마법학의 천재 쿠키입니다. 차가운 성격이지만 실력은 인정받고 있어요.,character_story,CK008
고대 영웅 중 한 명인 에인션트 쿠키입니다. 평화를 사랑하며 모든 쿠키를 치유해요.,character_story,CK009
다크카카오 왕국의 왕입니다. 무거운 검을 휘두르며 왕국을 지키고 있어요.,character_story,CK010
홀리베리 왕국의 여왕입니다. 강인하고 용감하며 모든 쿠키들의 존경을 받아요.,character_story,CK011
깊은 바다에서 온 신비로운 쿠키입니다. 엄청난 마법력으로 적을 얼려버려요.,character_story,CK012
얼음 왕국을 다스리는 여왕 쿠키입니다. 차가운 눈보라로 모든 것을 얼려버려요.,character_story,CK013
까마귀와 함께하는 미스터리한 쿠키입니다. 빠른 속도로 적을 베어버려요.,character_story,CK014
서부 출신의 총잡이 쿠키입니다. 정확한 사격 솜씨로 악당들을 물리쳐요.,character_story,CK015
용감한 쿠키와 친구들이 세운 왕국입니다.,location,KD001
눈 덮인 산맥에 위치한 강인한 왕국입니다.,location,KD002
용맹한 전사들의 고향입니다.,location,KD003
한때 번영했던 고대 왕국입니다.,location,KD004
기술과 과학이 발전한 도시입니다.,location,KD005
전방으로 돌진하며 적에게 피해를 줍니다.,skill,CK001
딸기 방패로 아군을 보호합니다.,skill,CK002
강력한 번개를 소환하여 적을 공격합니다.,skill,CK003
적의 생명력을 흡수하여 자신을 회복합니다.,skill,CK005
아군 전체의 HP를 회복시킵니다.,skill,CK006
신성한 빛으로 아군을 치유하고 보호합니다.,skill,CK009
거대한 검으로 적에게 강력한 일격을 가합니다.,skill,CK010
거대한 해일을 소환하여 적을 휩쓸어버립니다.,skill,CK012
전투 시작,UI,TXT001
스테이지 클리어,UI,TXT002
보물을 획득했습니다!,UI,TXT003
오븐에서 탈출해야 해!,story,TXT004
"친구들, 같이 가자!",story,TXT005
나의 힘을 받아라!,skill,TXT006
모두를 지켜줄게!,skill,TXT007
이 맛은... 마녀의 저주!,dialog,TXT008
쿠키들의 왕국을 세우자!,dialog,TXT009
체력 회복 젤리,item,TXT010
